"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_DZWCG_mich2001helmet0_USA","Tactical Helmet (USA)","Tactical Helmet (USA)","Taktická přilba (USA)","Taktischer Helm (USA)","Тактический шлем (США)","Hełm taktyczny (USA)","Tactical Helmet (USA)","Elmetto tattico (USA)","Casco táctico (Estados Unidos)","Casque tactique (États-Unis)","戰術頭盔 (美國)","戦術的ヘルメット (アメリカ)","Capacete tático (Estados Unidos)","战术头盔 (美国)",
"STR_DZWCG_mich2001helmet0_Brazil","Tactical Helmet (Brazil)","Tactical Helmet (Brazil)","Taktická přilba (Brazílie)","Taktischer Helm (Brasilien)","Тактический шлем (Бразилия)","Hełm taktyczny (Brazylia)","Tactical Helmet (Brazília)","Elmetto tattico (Brasile)","Casco táctico (Brasil)","Casque tactique (Brésil)","戰術頭盔 (巴西)","戦術的ヘルメット (ブラジル)","Capacete tático (Brasil)","战术头盔 (巴西)",
"STR_DZWCG_mich2001helmet0_Canada","Tactical Helmet (Canada)","Tactical Helmet (Canada)","Taktická přilba (Kanada)","Taktischer Helm (Kanada)","Тактический шлем (Канада)","Hełm taktyczny (Kanada)","Tactical Helmet (Kanada)","Elmetto tattico (Canada)","Casco táctico (Canadá)","Casque tactique (Canada)","戰術頭盔 (加拿大)","戦術的ヘルメット (カナダ)","Capacete tático (Canadá)","战术头盔 (加拿大)",
"STR_DZWCG_mich2001helmet0_Denmark","Tactical Helmet (Denmark)","Tactical Helmet (Denmark)","Taktická přilba (Dánsko)","Taktischer Helm (Dänemark)","Тактический шлем (Дания)","Hełm taktyczny (Dania)","Tactical Helmet (Dánia)","Elmetto tattico (Danimarca)","Casco táctico (Dinamarca)","Casque tactique (Danemark)","戰術頭盔 (丹麥)","戦術的ヘルメット (デンマーク)","Capacete tático (Dinamarca)","战术头盔 (丹麦)",
"STR_DZWCG_mich2001helmet0_England","Tactical Helmet (England)","Tactical Helmet (England)","Taktická přilba (Anglie)","Taktischer Helm (England)","Тактический шлем (Англия)","Hełm taktyczny (Anglia)","Tactical Helmet (Anglia)","Elmetto tattico (Inghilterra)","Casco táctico (Inglaterra)","Casque tactique (Angleterre)","戰術頭盔 (英格蘭)","戦術的ヘルメット (イングランド)","Capacete tático (Inglaterra)","战术头盔 (英格兰)",
"STR_DZWCG_mich2001helmet0_France","Tactical Helmet (France)","Tactical Helmet (France)","Taktická přilba (Francie)","Taktischer Helm (Frankreich)","Тактический шлем (Франция)","Hełm taktyczny (Francja)","Tactical Helmet (Franciaország)","Elmetto tattico (Francia)","Casco táctico (Francia)","Casque tactique (France)","戰術頭盔 (法國)","戦術的ヘルメット (フランス)","Capacete tático (França)","战术头盔 (法国)",
"STR_DZWCG_mich2001helmet0_Ireland","Tactical Helmet (Ireland)","Tactical Helmet (Ireland)","Taktická přilba (Irsko)","Taktischer Helm (Irland)","Тактический шлем (Ирландия)","Hełm taktyczny (Irlandia)","Tactical Helmet (Írország)","Elmetto tattico (Irlanda)","Casco táctico (Irlanda)","Casque tactique (Irlande)","戰術頭盔 (愛爾蘭)","戦術的ヘルメット (アイルランド)","Capacete tático (Irlanda)","战术头盔 (爱尔兰)",
"STR_DZWCG_mich2001helmet0_Italy","Tactical Helmet (Italy)","Tactical Helmet (Italy)","Taktická přilba (Itálie)","Taktischer Helm (Italien)","Тактический шлем (Италия)","Hełm taktyczny (Włochy)","Tactical Helmet (Olaszország)","Elmetto tattico (Italia)","Casco táctico (Italia)","Casque tactique (Italie)","戰術頭盔 (義大利)","戦術的ヘルメット (イタリア)","Capacete tático (Itália)","战术头盔 (意大利)",
"STR_DZWCG_mich2001helmet0_Portugal","Tactical Helmet (Portugal)","Tactical Helmet (Portugal)","Taktická přilba (Portugalsko)","Taktischer Helm (Portugal)","Тактический шлем (Португалия)","Hełm taktyczny (Portugalia)","Tactical Helmet (Portugália)","Elmetto tattico (Portogallo)","Casco táctico (Portugal)","Casque tactique (Portugal)","戰術頭盔 (葡萄牙)","戦術的ヘルメット (ポルトガル)","Capacete tático (Portugal)","战术头盔 (葡萄牙)",
"STR_DZWCG_mich2001helmet0_Scotland","Tactical Helmet (Scotland)","Tactical Helmet (Scotland)","Taktická přilba (Skotsko)","Taktischer Helm (Schottland)","Тактический шлем (Шотландия)","Hełm taktyczny (Szkocja)","Tactical Helmet (Skócia)","Elmetto tattico (Scozia)","Casco táctico (Escocia)","Casque tactique (Écosse)","戰術頭盔 (蘇格蘭)","戦術的ヘルメット (スコットランド)","Capacete tático (Escócia)","战术头盔 (苏格兰)",
